customer_id,order_cnt,max_order_date,total_order_value,day_since_last_order,recency_score,frequency_score,monetary_score,segment
12346.0,2,2010-06-28 13:53:00,169.360,178,1,2,1,10-Hibernating
12608.0,1,2010-10-31 10:49:00,415.790,53,3,1,2,09-About to Sleep
12745.0,2,2010-08-10 10:14:00,723.850,135,2,2,3,10-Hibernating
12746.0,1,2010-06-17 10:41:00,254.550,189,1,1,2,10-Hibernating
12747.0,14,2010-12-13 10:41:00,3723.940,10,5,5,5,01-Champion
12748.0,144,2010-12-23 15:32:00,19530.820,0,5,5,5,01-Champion
12749.0,4,2010-11-05 13:56:00,2806.480,48,3,4,5,02-Loyal Customers
12777.0,1,2010-09-08 11:35:00,519.450,106,2,1,3,10-Hibernating
12819.0,1,2010-09-07 15:20:00,540.520,107,2,1,3,10-Hibernating
12820.0,6,2010-11-07 14:26:00,1598.880,46,3,4,4,02-Loyal Customers
12821.0,1,2010-04-07 15:14:00,128.080,260,1,1,1,10-Hibernating
12823.0,4,2010-07-01 12:48:00,762.000,175,1,4,3,08-At Risk
12825.0,2,2010-07-06 13:56:00,518.630,170,1,2,3,10-Hibernating
12826.0,5,2010-12-09 15:21:00,1022.830,14,5,4,4,01-Champion
12829.0,2,2010-12-14 14:54:00,178.050,9,5,2,1,03-Potential Loyalists
12831.0,2,2010-09-02 16:00:00,236.060,112,2,2,2,10-Hibernating
12835.0,36,2010-10-08 10:59:00,4956.520,76,3,5,5,02-Loyal Customers
12836.0,10,2010-11-15 16:22:00,3541.400,37,4,5,5,02-Loyal Customers
12837.0,1,2010-05-19 15:10:00,528.560,218,1,1,3,10-Hibernating
12838.0,9,2010-12-01 11:57:00,2694.750,22,5,5,5,01-Champion
12839.0,11,2010-12-17 17:33:00,3845.370,5,5,5,5,01-Champion
12840.0,3,2010-09-28 17:58:00,1315.200,85,2,3,4,08-At Risk
12841.0,17,2010-12-05 12:15:00,3472.610,18,5,5,5,01-Champion
12842.0,1,2010-10-31 10:45:00,401.800,53,3,1,2,09-About to Sleep
12843.0,19,2010-11-22 13:31:00,4354.820,31,4,5,5,02-Loyal Customers
12844.0,2,2010-09-23 16:23:00,322.640,90,2,2,2,10-Hibernating
12847.0,1,2010-11-17 12:44:00,765.360,36,4,1,3,07-Promising
12848.0,1,2010-02-02 12:45:00,208.000,324,1,1,1,10-Hibernating
12849.0,4,2010-11-23 11:41:00,2023.330,30,4,4,5,02-Loyal Customers
12850.0,1,2010-09-20 12:26:00,330.000,94,2,1,2,10-Hibernating
12851.0,1,2010-08-19 15:13:00,148.950,126,2,1,1,10-Hibernating
12853.0,5,2010-10-08 14:51:00,1950.400,76,3,4,5,02-Loyal Customers
12854.0,3,2010-05-27 16:54:00,1132.280,209,1,3,4,08-At Risk
12855.0,4,2010-12-02 09:37:00,612.840,21,5,4,3,01-Champion
12857.0,4,2010-09-29 16:49:00,1969.600,84,2,4,5,08-At Risk
12858.0,1,2010-11-21 12:55:00,147.270,32,4,1,1,07-Promising
12859.0,1,2010-09-07 12:20:00,575.100,107,2,1,3,10-Hibernating
12860.0,1,2010-01-15 15:22:00,54.220,342,1,1,1,10-Hibernating
12861.0,1,2010-03-30 11:39:00,68.250,268,1,1,1,10-Hibernating
12862.0,2,2010-10-10 11:47:00,984.620,74,3,2,4,09-About to Sleep
12863.0,5,2010-11-25 17:47:00,1591.350,27,4,4,4,02-Loyal Customers
12864.0,1,2010-07-19 17:22:00,152.450,156,2,1,1,10-Hibernating
12867.0,6,2010-12-14 16:39:00,3896.220,8,5,4,5,01-Champion
12868.0,3,2010-12-01 12:50:00,640.000,22,5,3,3,03-Potential Loyalists
12869.0,1,2010-01-27 12:10:00,337.670,330,1,1,2,10-Hibernating
12870.0,3,2010-11-29 13:42:00,1676.950,24,4,3,4,03-Potential Loyalists
12871.0,1,2010-09-26 10:34:00,363.380,88,2,1,2,10-Hibernating
12872.0,10,2010-12-09 14:44:00,2655.300,14,5,5,5,01-Champion
12873.0,2,2010-11-07 11:15:00,1653.300,46,3,2,4,09-About to Sleep
12877.0,9,2010-12-16 12:23:00,1556.430,7,5,5,4,01-Champion
12880.0,2,2010-11-23 10:50:00,640.130,30,4,2,3,03-Potential Loyalists
12887.0,1,2010-11-21 11:18:00,222.400,32,4,1,1,07-Promising
12889.0,4,2010-11-23 16:08:00,385.460,29,4,4,2,02-Loyal Customers
12890.0,1,2010-11-17 14:06:00,329.300,36,4,1,2,07-Promising
12891.0,7,2010-09-07 15:31:00,305.500,107,2,5,2,04-Can't Lose Them
12892.0,1,2010-11-08 09:51:00,263.380,45,3,1,2,09-About to Sleep
12894.0,1,2010-05-13 14:47:00,157.350,224,1,1,1,10-Hibernating
12897.0,2,2010-11-23 13:29:00,297.750,30,4,2,2,03-Potential Loyalists
12898.0,2,2010-09-02 08:08:00,296.210,112,2,2,2,10-Hibernating
12899.0,1,2010-10-22 09:53:00,366.400,62,3,1,2,09-About to Sleep
12900.0,1,2010-10-13 15:17:00,340.330,71,3,1,2,09-About to Sleep
12903.0,1,2010-10-07 12:39:00,833.530,77,3,1,3,09-About to Sleep
12905.0,2,2010-05-12 10:05:00,1018.420,225,1,2,4,10-Hibernating
12907.0,2,2010-11-09 12:08:00,508.910,44,3,2,3,09-About to Sleep
12909.0,3,2010-10-11 09:44:00,924.520,73,3,3,4,05-Need Attention
12910.0,5,2010-11-25 12:27:00,2629.320,28,4,4,5,02-Loyal Customers
12911.0,1,2010-06-06 12:13:00,1651.720,200,1,1,4,10-Hibernating
12913.0,7,2010-12-06 16:36:00,2188.870,16,5,5,5,01-Champion
12914.0,1,2010-11-04 12:28:00,223.980,49,3,1,1,09-About to Sleep
12915.0,3,2010-12-02 12:33:00,811.100,21,5,3,3,03-Potential Loyalists
12916.0,3,2010-09-23 11:57:00,1534.780,91,2,3,4,08-At Risk
12917.0,3,2010-11-04 15:56:00,1321.300,49,3,3,4,05-Need Attention
12920.0,1,2010-05-17 12:57:00,184.960,220,1,1,1,10-Hibernating
12921.0,35,2010-12-08 10:14:00,16890.250,15,5,5,5,01-Champion
12923.0,2,2010-11-14 13:16:00,597.600,39,4,2,3,03-Potential Loyalists
12924.0,5,2010-11-11 15:21:00,675.750,42,4,4,3,02-Loyal Customers
12925.0,1,2010-04-26 10:32:00,35.280,241,1,1,1,10-Hibernating
12926.0,3,2010-10-24 15:57:00,1152.820,60,3,3,4,05-Need Attention
12927.0,1,2010-11-10 10:02:00,197.310,43,3,1,1,09-About to Sleep
12928.0,8,2010-12-15 15:45:00,2634.530,8,5,5,5,01-Champion
12931.0,22,2010-12-17 18:07:00,5947.080,5,5,5,5,01-Champion
12932.0,8,2010-06-18 14:22:00,1698.560,188,1,5,4,04-Can't Lose Them
12933.0,4,2010-11-24 17:11:00,873.310,28,4,4,3,02-Loyal Customers
12935.0,8,2010-11-29 13:55:00,2083.160,24,4,5,5,02-Loyal Customers
12937.0,3,2010-09-02 16:01:00,1278.770,112,2,3,4,08-At Risk
12939.0,8,2010-11-25 14:50:00,3216.540,28,4,5,5,02-Loyal Customers
12942.0,1,2010-12-09 09:34:00,258.750,14,5,1,2,06-New Customers
12943.0,2,2010-05-30 13:52:00,496.500,207,1,2,3,10-Hibernating
12944.0,1,2010-12-20 10:41:00,286.950,3,5,1,2,06-New Customers
12945.0,1,2010-02-21 15:18:00,437.160,305,1,1,2,10-Hibernating
12946.0,1,2010-09-29 10:14:00,324.450,85,2,1,2,10-Hibernating
12947.0,1,2010-12-01 16:21:00,304.040,21,5,1,2,06-New Customers
12949.0,13,2010-11-22 15:45:00,9564.780,31,4,5,5,02-Loyal Customers
12951.0,9,2010-11-18 12:11:00,2149.650,35,4,5,5,02-Loyal Customers
12953.0,1,2010-07-05 13:37:00,498.960,171,1,1,3,10-Hibernating
12954.0,1,2010-03-11 10:16:00,162.450,287,1,1,1,10-Hibernating
12956.0,1,2010-01-24 10:33:00,137.120,333,1,1,1,10-Hibernating
12957.0,4,2010-06-16 08:55:00,3581.480,190,1,4,5,08-At Risk
12958.0,2,2010-11-04 16:16:00,467.340,48,3,2,3,09-About to Sleep
12959.0,1,2010-08-12 17:20:00,150.950,132,2,1,1,10-Hibernating
12960.0,4,2010-10-22 09:31:00,1271.670,62,3,4,4,02-Loyal Customers
12961.0,1,2010-11-25 16:44:00,211.990,27,4,1,1,07-Promising
12963.0,5,2010-12-09 09:14:00,1744.960,14,5,4,4,01-Champion
12964.0,1,2010-09-28 17:47:00,132.240,85,2,1,1,10-Hibernating
12967.0,3,2010-12-16 19:10:00,2938.520,6,5,3,5,03-Potential Loyalists
12969.0,1,2010-04-16 10:50:00,122.450,251,1,1,1,10-Hibernating
12970.0,5,2010-11-24 13:08:00,810.140,29,4,4,3,02-Loyal Customers
12971.0,34,2010-12-21 10:51:00,4209.030,2,5,5,5,01-Champion
12972.0,4,2010-10-22 08:41:00,1161.200,62,3,4,4,02-Loyal Customers
12973.0,1,2010-10-22 10:14:00,95.550,62,3,1,1,09-About to Sleep
12974.0,1,2010-05-23 11:45:00,264.150,214,1,1,2,10-Hibernating
12975.0,5,2010-09-29 09:46:00,1658.460,85,2,4,4,08-At Risk
12976.0,7,2010-11-26 14:51:00,2417.780,27,4,5,5,02-Loyal Customers
12977.0,3,2010-07-26 12:34:00,474.640,150,2,3,3,08-At Risk
12978.0,4,2010-11-19 14:29:00,1557.240,34,4,4,4,02-Loyal Customers
12980.0,9,2010-12-16 11:36:00,2827.800,7,5,5,5,01-Champion
12982.0,7,2010-11-10 08:50:00,2354.270,43,3,5,5,02-Loyal Customers
12983.0,1,2010-04-20 12:58:00,490.080,247,1,1,3,10-Hibernating
12986.0,10,2010-10-07 11:57:00,2729.840,77,3,5,5,02-Loyal Customers
12987.0,3,2010-10-15 13:48:00,753.510,69,3,3,3,05-Need Attention
12989.0,12,2010-12-10 13:24:00,2234.340,13,5,5,5,01-Champion
12990.0,4,2010-10-18 08:56:00,546.000,66,3,4,3,02-Loyal Customers
12991.0,1,2010-11-15 13:43:00,261.060,38,4,1,2,07-Promising
